,X,Y,Z
F-1,4590,1743,961
F-2,3710,2266,6438
F-3,3498,1862,6477
F-4,4015,2425,7126
F-5,4041,1988,6974
F-6,4551,1895,7126
F-7,4604,1829,7126
F-8,4657,1915,7126
F-9,5312,1988,6941
F-10,5385,2405,7113
F-11,5889,1869,6491
F-12,5650,2266,6438
F-13,4670,1756,954
F-14,4584,2048,3451
F-15,4571,2465,4775
