,X,Y,Z
F-1,3664,1518,70
F-2,3106,1926,4677
F-3,2933,1702,5039
F-4,2968,2191,5649
F-5,3135,1829,5563
F-6,3630,1679,5636
F-7,3728,1679,5604
F-8,3848,1679,5632
F-9,4297,1829,5558
F-10,4469,2197,5638
F-11,4526,1725,5028
F-12,4348,1926,4683
F-13,3796,1530,75
F-14,3727,1869,3895
F-15,3733,1898,4004
