,X,Y,Z
F-1,4590,1743,961
F-2,3498,1862,6477
F-3,4551,1895,7126
F-4,4604,1829,7126
F-5,4657,1915,7126
F-6,5889,1869,6491
F-7,4670,1756,954
F-8,4584,2048,3451
F-9,4571,2465,4775
